"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"BNP Paribas S.A.";"Koninklijke KPN N.V.";"NL0000009082";"0,58";"2017-05-05 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"1,07";"2017-05-05 00:00:00"
"Lansdowne Partners (UK) LLP";"Koninklijke Ahold Delhaize N.V.";"NL0011794037";"0,51";"2017-05-05 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"2,06";"2017-05-05 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Fugro N.V.";"NL0000352565";"0,82";"2017-05-04 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0,88";"2017-05-03 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,90";"2017-05-03 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0,98";"2017-05-02 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,20";"2017-04-28 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,78";"2017-04-28 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"2,11";"2017-04-28 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,19";"2017-04-27 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,81";"2017-04-27 00:00:00"
"GSA Capital Partners LLP";"BinckBank N.V.";"NL0000335578";"0,80";"2017-04-26 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,11";"2017-04-26 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,05";"2017-04-24 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,77";"2017-04-19 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,80";"2017-04-18 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,80";"2017-04-13 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,99";"2017-04-13 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,79";"2017-04-13 00:00:00"
"AQR Capital Management, LLC";"Altice N.V.";"NL0011333752";"0,70";"2017-04-11 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,28";"2017-04-11 00:00:00"
"GSA Capital Partners LLP";"BinckBank N.V.";"NL0000335578";"0,70";"2017-04-11 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,07";"2017-04-11 00:00:00"
"BlackRock Investment Management (UK) Limited";"Brunel International N.V.";"NL0010776944";"0,60";"2017-04-10 00:00:00"
"Capital Fund Management S.A.";"Wereldhave N.V.";"NL0000289213";"0,69";"2017-04-06 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,70";"2017-04-06 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,14";"2017-04-06 00:00:00"
"AQR Capital Management, LLC";"Altice N.V.";"NL0011333752";"0,69";"2017-04-05 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,37";"2017-04-05 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,69";"2017-04-04 00:00:00"
"Capital Fund Management S.A.";"Wereldhave N.V.";"NL0000289213";"0,70";"2017-04-03 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,70";"2017-04-03 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,89";"2017-04-03 00:00:00"
"GSA Capital Partners LLP";"BinckBank N.V.";"NL0000335578";"0,60";"2017-03-31 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,49";"2017-03-30 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,69";"2017-03-30 00:00:00"
"Adelphi Capital LLP";"Gemalto N.V.";"NL0000400653";"0,64";"2017-03-29 00:00:00"
"Capital Fund Management S.A.";"Wereldhave N.V.";"NL0000289213";"0,69";"2017-03-29 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Fugro N.V.";"NL0000352565";"0,73";"2017-03-29 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,49";"2017-03-28 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"1,20";"2017-03-28 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"1,11";"2017-03-27 00:00:00"
"AQR Capital Management, LLC";"Koninklijke KPN N.V.";"NL0000009082";"0,90";"2017-03-23 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,98";"2017-03-23 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"0,60";"2017-03-21 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"0,59";"2017-03-20 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,29";"2017-03-20 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"0,60";"2017-03-17 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"1,08";"2017-03-17 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"1,20";"2017-03-16 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,38";"2017-03-16 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,79";"2017-03-10 00:00:00"
"AQR Capital Management, LLC";"Koninklijke KPN N.V.";"NL0000009082";"0,89";"2017-03-07 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,59";"2017-03-07 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"1,31";"2017-03-07 00:00:00"
"GSA Capital Partners LLP";"BinckBank N.V.";"NL0000335578";"0,50";"2017-03-06 00:00:00"
"Canada Pension Plan Investment Board";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,61";"2017-03-02 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,80";"2017-03-02 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,41";"2017-03-02 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,39";"2017-03-01 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"1,00";"2017-02-24 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,70";"2017-02-22 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,69";"2017-02-21 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,70";"2017-02-20 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,59";"2017-02-17 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,68";"2017-02-17 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,65";"2017-02-16 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"1,20";"2017-02-16 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"1,11";"2017-02-14 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"1,10";"2017-02-13 00:00:00"
"Canada Pension Plan Investment Board";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,57";"2017-02-10 00:00:00"
"Davidson Kempner European Partners, LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,70";"2017-02-10 00:00:00"
"AQR Capital Management, LLC";"Koninklijke KPN N.V.";"NL0000009082";"0,90";"2017-02-09 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,71";"2017-02-09 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,48";"2017-02-09 00:00:00"
"BlackRock Investment Management (UK) Limited";"Brunel International N.V.";"NL0010776944";"0,50";"2017-02-08 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"0,77";"2017-02-08 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"0,50";"2017-02-07 00:00:00"
"AQR Capital Management, LLC";"Altice N.V.";"NL0011333752";"0,70";"2017-02-06 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"1,03";"2017-02-03 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,60";"2017-02-02 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,61";"2017-02-02 00:00:00"
"Capital Fund Management S.A.";"Wereldhave N.V.";"NL0000289213";"0,70";"2017-02-02 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,52";"2017-02-01 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,92";"2017-01-31 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,41";"2017-01-27 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Fugro N.V.";"NL0000352565";"1,00";"2017-01-26 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,59";"2017-01-25 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,34";"2017-01-25 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"0,86";"2017-01-24 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"0,90";"2017-01-24 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,81";"2017-01-24 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,71";"2017-01-23 00:00:00"
"AQR Capital Management, LLC";"Altice N.V.";"NL0011333752";"0,69";"2017-01-19 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,21";"2017-01-19 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1,04";"2017-01-13 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,59";"2017-01-13 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,10";"2017-01-13 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"0,80";"2017-01-12 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,02";"2017-01-12 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,62";"2017-01-12 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,68";"2017-01-10 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,17";"2017-01-09 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,74";"2017-01-09 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"0,71";"2017-01-04 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,88";"2017-01-04 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"0,63";"2017-01-03 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"0,57";"2017-01-02 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,99";"2016-12-30 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1,00";"2016-12-28 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,90";"2016-12-27 00:00:00"
"Capital Fund Management S.A.";"Wereldhave N.V.";"NL0000289213";"0,69";"2016-12-22 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,81";"2016-12-20 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,52";"2016-12-19 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,71";"2016-12-15 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,69";"2016-12-14 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,98";"2016-12-14 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,67";"2016-12-12 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"2,21";"2016-12-12 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"2,06";"2016-12-09 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"1,99";"2016-12-08 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"1,77";"2016-12-07 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,70";"2016-12-05 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,79";"2016-12-01 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"0,99";"2016-12-01 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,69";"2016-12-01 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,78";"2016-11-25 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1,00";"2016-11-23 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,82";"2016-11-22 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,79";"2016-11-21 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0,97";"2016-11-18 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,80";"2016-11-18 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,88";"2016-11-17 00:00:00"
"Capital Fund Management S.A.";"Wereldhave N.V.";"NL0000289213";"0,70";"2016-11-17 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"1,56";"2016-11-17 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,72";"2016-11-15 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,95";"2016-11-14 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"1,40";"2016-11-11 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,83";"2016-11-10 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,61";"2016-11-10 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"1,36";"2016-11-10 00:00:00"
"Capital Fund Management S.A.";"Wereldhave N.V.";"NL0000289213";"0,61";"2016-11-09 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,50";"2016-11-09 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Fugro N.V.";"NL0000352565";"1,13";"2016-11-08 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,72";"2016-11-08 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"1,20";"2016-11-07 00:00:00"
"AQR Capital Management, LLC";"Koninklijke KPN N.V.";"NL0000009082";"0,80";"2016-11-02 00:00:00"
"Capital Fund Management S.A.";"Wereldhave N.V.";"NL0000289213";"0,50";"2016-11-01 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,61";"2016-11-01 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0,81";"2016-10-28 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,22";"2016-10-27 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,59";"2016-10-27 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0,75";"2016-10-25 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,58";"2016-10-24 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0,64";"2016-10-24 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"1,15";"2016-10-21 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,99";"2016-10-20 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,19";"2016-10-14 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Fugro N.V.";"NL0000352565";"0,81";"2016-10-11 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"1,00";"2016-10-07 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,29";"2016-10-05 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"0,83";"2016-10-03 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,39";"2016-09-30 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,90";"2016-09-26 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,48";"2016-09-16 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,80";"2016-09-12 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,67";"2016-09-05 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,70";"2016-09-02 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,58";"2016-09-01 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Fugro N.V.";"NL0000352565";"0,54";"2016-08-31 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,71";"2016-08-24 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,69";"2016-08-24 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,69";"2016-08-24 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,79";"2016-08-16 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,63";"2016-08-12 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,87";"2016-08-12 00:00:00"
"AQR Capital Management, LLC";"Koninklijke KPN N.V.";"NL0000009082";"0,70";"2016-08-03 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,71";"2016-08-03 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,50";"2016-08-01 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,98";"2016-07-29 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"2,09";"2016-07-26 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"2,18";"2016-07-18 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"1,03";"2016-07-15 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"0,89";"2016-07-14 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,69";"2016-07-13 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"2,26";"2016-07-13 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"0,70";"2016-07-13 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"2,33";"2016-07-07 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"2,20";"2016-07-05 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"2,13";"2016-07-04 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"2,05";"2016-06-30 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,91";"2016-06-23 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"0,79";"2016-06-20 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,80";"2016-06-17 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,64";"2016-06-16 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,52";"2016-06-15 00:00:00"
"Davidson Kempner European Partners, LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,60";"2016-06-09 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,31";"2016-06-07 00:00:00"
"Davidson Kempner European Partners, LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,51";"2016-06-07 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"0,80";"2016-06-06 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,21";"2016-06-01 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,72";"2016-05-25 00:00:00"
"AQR Capital Management, LLC";"Koninklijke KPN N.V.";"NL0000009082";"0,60";"2016-05-19 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,60";"2016-05-13 00:00:00"
"AQR Capital Management, LLC";"Koninklijke KPN N.V.";"NL0000009082";"0,59";"2016-05-09 00:00:00"
"AQR Capital Management, LLC";"Koninklijke KPN N.V.";"NL0000009082";"0,60";"2016-05-06 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,10";"2016-05-05 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,04";"2016-05-03 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,50";"2016-05-02 00:00:00"
"Adelphi Capital LLP";"Gemalto N.V.";"NL0000400653";"0,76";"2016-04-29 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,40";"2016-04-15 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"0,90";"2016-04-12 00:00:00"
"Canada Pension Plan Investment Board";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,63";"2016-04-05 00:00:00"
"Canada Pension Plan Investment Board";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,55";"2016-04-04 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,31";"2016-04-01 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"0,80";"2016-03-31 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"0,75";"2016-03-29 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,29";"2016-03-24 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,30";"2016-03-23 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,21";"2016-03-15 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"0,60";"2016-03-15 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,18";"2016-03-11 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"0,50";"2016-03-11 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"0,79";"2016-03-09 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,27";"2016-02-24 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,31";"2016-02-23 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"0,80";"2016-02-23 00:00:00"
"AQR Capital Management, LLC";"Koninklijke KPN N.V.";"NL0000009082";"0,50";"2016-02-18 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,20";"2016-02-09 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,19";"2016-02-04 00:00:00"
"Adelphi Capital LLP";"Gemalto N.V.";"NL0000400653";"0,90";"2016-01-27 00:00:00"
"Adelphi Capital LLP";"Gemalto N.V.";"NL0000400653";"0,89";"2016-01-26 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"0,70";"2016-01-08 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"0,63";"2016-01-07 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"0,51";"2016-01-06 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,29";"2015-12-09 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,38";"2015-11-13 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,49";"2015-10-20 00:00:00"
"Adelphi Capital LLP";"Gemalto N.V.";"NL0000400653";"0,73";"2015-10-15 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,58";"2015-10-09 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,61";"2015-10-01 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,59";"2015-09-28 00:00:00"
"Adelphi Capital LLP";"Gemalto N.V.";"NL0000400653";"0,62";"2015-09-24 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,60";"2015-09-15 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,58";"2015-07-30 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,69";"2015-06-30 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,70";"2015-06-29 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,68";"2015-06-15 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,78";"2015-05-28 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,89";"2015-05-11 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,96";"2015-04-28 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,07";"2015-04-22 00:00:00"
