
Importing updates of last 6 months into SourceData : XPAR_PDF.db.
Checking updates from 20170213 and adding to XPAR_PDF.db...

('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 'FR0013181864', 0.72, '20170810', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 2.08, '20170622', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 2.18, '20170620', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'TECHNIPFMC PLC', 'GB00BDSFG982', 0.54, '20170616', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 2.38, '20170619', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.44, '20170614', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'VALLOUREC', 'FR0000120354', 0.94, '20170615', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 2.78, '20170614', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.77, '20170613', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'INGENICO', 'FR0000125346', 0.61, '20170613', 'XPAR', '20170813_21h32')
('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 'FR0013181864', 0.75, '20170613', 'XPAR', '20170813_21h32')
('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'MERCIALYS', 'FR0010241638', 0.7, '20170612', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'INGENICO', 'FR0000125346', 0.53, '20170612', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 2.86, '20170612', 'XPAR', '20170813_21h32')
('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'GENFIT', 'FR0004163111', 0.61, '20170607', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 2.92, '20170608', 'XPAR', '20170813_21h32')
('DAVIDSON KEMPNER EUROPEANPARTNERS, LLP', 'ELIS', 'FR0012435121', 0.59, '20170608', 'XPAR', '20170813_21h32')
('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 'FR0013181864', 0.69, '20170605', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 3.42, '20170605', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 3.04, '20170607', 'XPAR', '20170813_21h32')
('CANADA PENSION PLAN INVESTMENTBOARD', 'EUTELSAT COMMUNICATIONS', 'FR0010221234', 0.79, '20170605', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 3.25, '20170606', 'XPAR', '20170813_21h32')
('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'GENFIT', 'FR0004163111', 0.51, '20170602', 'XPAR', '20170813_21h32')
('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 'FR0013181864', 0.72, '20170602', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 3.6, '20170602', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.86, '20170602', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 3.87, '20170530', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'VALLOUREC', 'FR0000120354', 0.81, '20170601', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 3.75, '20170601', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'VALLOUREC', 'FR0000120354', 0.64, '20170526', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'TELEVISION FRANCAISE 1', 'FR0000054900', 0.97, '20170526', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 3.97, '20170524', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 4.0, '20170523', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.96, '20170525', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'TELEVISION FRANCAISE 1', 'FR0000054900', 0.96, '20170215', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'VALLOUREC', 'FR0000120354', 0.59, '20170522', 'XPAR', '20170813_21h32')
('QUANTITATIVE MANAGEMENTASSOCIATES LLC', 'NEXANS', 'FR0000044448', 0.0, '20170522', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'TELEVISION FRANCAISE 1', 'FR0000054900', 0.81, '20170217', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 1.01, '20170516', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.99, '20170512', 'XPAR', '20170813_21h32')
('CANADA PENSION PLAN INVESTMENTBOARD', 'EUTELSAT COMMUNICATIONS', 'FR0010221234', 0.8, '20170512', 'XPAR', '20170813_21h32')
('CANADA PENSION PLAN INVESTMENTBOARD', 'EUTELSAT COMMUNICATIONS', 'FR0010221234', 0.6, '20170510', 'XPAR', '20170813_21h32')
('FIR TREE INC.', 'CASINO GUICHARD-PERRACHON', 'FR0000125585', 0.62, '20170425', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 1.0, '20170426', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'NATUREX', 'FR0000054694', 0.56, '20170420', 'XPAR', '20170813_21h32')
('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'MERCIALYS', 'FR0010241638', 0.69, '20170407', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'GUERBET', 'FR0000032526', 0.5, '20170405', 'XPAR', '20170813_21h32')
('OCEANIC OPPORTUNITIES MASTER FUNDL.P.', 'CGG', 'FR0013181864', 0.79, '20170329', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'NEOPOST S.A.', 'FR0000120560', 0.72, '20170329', 'XPAR', '20170813_21h32')
('KAIROS INVESTMENT MANAGEMENTLIMITED', 'BOURBON', 'FR0004548873', 0.8, '20170322', 'XPAR', '20170813_21h32')
('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'MERCIALYS', 'FR0010241638', 0.79, '20170322', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 3.17, '20170317', 'XPAR', '20170813_21h32')
('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'MERCIALYS', 'FR0010241638', 0.89, '20170315', 'XPAR', '20170813_21h32')
('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'MERCIALYS', 'FR0010241638', 0.9, '20170314', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 3.01, '20170313', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.98, '20170309', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 1.08, '20170308', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 2.95, '20170308', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 2.88, '20170307', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'NEOPOST S.A.', 'FR0000120560', 0.61, '20170308', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 1.39, '20170306', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'GAZTRANSPORT ET TECHNIGAZ', 'FR0011726835', 2.0, '20170301', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 1.53, '20170301', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'NEOPOST S.A.', 'FR0000120560', 0.58, '20170224', 'XPAR', '20170813_21h32')
('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'MERCIALYS', 'FR0010241638', 0.8, '20170222', 'XPAR', '20170813_21h32')
('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'MERCIALYS', 'FR0010241638', 0.72, '20170217', 'XPAR', '20170813_21h32')
('KAIROS INVESTMENT MANAGEMENTLIMITED', 'BOURBON', 'FR0004548873', 0.71, '20170220', 'XPAR', '20170813_21h32')
('ANCHORAGE CAPITAL MASTEROFFSHORE, LTD', 'GAZTRANSPORT ET TECHNIGAZ', 'FR0011726835', 1.24, '20170214', 'XPAR', '20170813_21h32')
('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'MERCIALYS', 'FR0010241638', 0.64, '20170215', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 2.74, '20170214', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'VALLOUREC', 'FR0000120354', 0.51, '20170811', 'XPAR', '20170813_21h32')
('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 'FR0013181864', 0.72, '20170810', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'VALLOUREC', 'FR0000120354', 0.72, '20170810', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'VALLOUREC', 'FR0000120354', 0.78, '20170804', 'XPAR', '20170813_21h32')
('JPMORGAN ASSET MANAGEMENT (UK)LIMITED', 'NEXANS', 'FR0000044448', 0.53, '20170807', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'VALLOUREC', 'FR0000120354', 0.63, '20170803', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.82, '20170802', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'KORIAN', 'FR0010386334', 0.59, '20170802', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 0.71, '20170731', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 0.63, '20170726', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'GAZTRANSPORT ET TECHNIGAZ', 'FR0011726835', 1.98, '20170727', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'NEOPOST S.A.', 'FR0000120560', 0.61, '20170727', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'INGENICO', 'FR0000125346', 0.71, '20170727', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'TELEVISION FRANCAISE 1', 'FR0000054900', 1.08, '20170726', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'KORIAN', 'FR0010386334', 0.61, '20170725', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.92, '20170721', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'KORIAN', 'FR0010386334', 0.52, '20170720', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'NEOPOST S.A.', 'FR0000120560', 0.51, '20170720', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.88, '20170720', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'NEOPOST S.A.', 'FR0000120560', 0.7, '20170720', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 1.04, '20170719', 'XPAR', '20170813_21h32')
('MYRIAD OPPORTUNITIES MASTER FUNDLIMITED', 'INGENICO', 'FR0000125346', 0.56, '20170719', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.86, '20170718', 'XPAR', '20170813_21h32')
('DAVIDSON KEMPNER EUROPEANPARTNERS, LLP', 'ELIS', 'FR0012435121', 1.1, '20170717', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.73, '20170717', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 0.98, '20170713', 'XPAR', '20170813_21h32')
('DAVIDSON KEMPNER EUROPEANPARTNERS, LLP', 'ELIS', 'FR0012435121', 1.06, '20170712', 'XPAR', '20170813_21h32')
('DAVIDSON KEMPNER EUROPEANPARTNERS, LLP', 'ELIS', 'FR0012435121', 0.96, '20170711', 'XPAR', '20170813_21h32')
('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'GENFIT', 'FR0004163111', 0.59, '20170712', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'TELEVISION FRANCAISE 1', 'FR0000054900', 1.1, '20170710', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'NATUREX', 'FR0000054694', 0.6, '20170710', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'TELEVISION FRANCAISE 1', 'FR0000054900', 1.05, '20170707', 'XPAR', '20170813_21h32')
('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 'FR0013181864', 0.68, '20170705', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 1.57, '20170705', 'XPAR', '20170813_21h32')
('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'GENFIT', 'FR0004163111', 0.69, '20170703', 'XPAR', '20170813_21h32')
('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 'FR0013181864', 0.69, '20170703', 'XPAR', '20170813_21h32')
('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 'FR0013181864', 0.7, '20170704', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 1.67, '20170703', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 1.72, '20170630', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 1.88, '20170628', 'XPAR', '20170813_21h32')
('DAVIDSON KEMPNER EUROPEANPARTNERS, LLP', 'ELIS', 'FR0012435121', 0.81, '20170628', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'NEOPOST S.A.', 'FR0000120560', 0.69, '20170627', 'XPAR', '20170813_21h32')
('DAVIDSON KEMPNER EUROPEANPARTNERS, LLP', 'ELIS', 'FR0012435121', 0.69, '20170627', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 1.98, '20170626', 'XPAR', '20170813_21h32')
('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'GENFIT', 'FR0004163111', 0.7, '20170623', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 2.08, '20170622', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 2.18, '20170620', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 2.38, '20170619', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'TECHNIPFMC PLC', 'GB00BDSFG982', 0.54, '20170616', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 2.78, '20170614', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'VALLOUREC', 'FR0000120354', 0.94, '20170615', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.44, '20170614', 'XPAR', '20170813_21h32')
('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 'FR0013181864', 0.75, '20170613', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.77, '20170613', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'INGENICO', 'FR0000125346', 0.61, '20170613', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 2.86, '20170612', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'INGENICO', 'FR0000125346', 0.53, '20170612', 'XPAR', '20170813_21h32')
('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'MERCIALYS', 'FR0010241638', 0.7, '20170612', 'XPAR', '20170813_21h32')
('DAVIDSON KEMPNER EUROPEANPARTNERS, LLP', 'ELIS', 'FR0012435121', 0.59, '20170608', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 2.92, '20170608', 'XPAR', '20170813_21h32')
('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'GENFIT', 'FR0004163111', 0.61, '20170607', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 3.04, '20170607', 'XPAR', '20170813_21h32')
('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 'FR0013181864', 0.69, '20170605', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 3.25, '20170606', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 3.42, '20170605', 'XPAR', '20170813_21h32')
